magnitudes,longitudes,latitudes
0.24612117,150,50
0.32535097,150,-60
0.277319,130,-10
0.361035,-70,-20
0.31542885,10,40
0.38667613,-100,-40
0.32487285,70,40
0.36288843,50,20
0.32612804,-80,10
0.25821507,150,0
0.28511915,140,0
0.33012313,100,0
0.24613826,160,-60
0.3329919,-90,20
0.28419936,120,20
0.2960221,130,0
0.27563,130,30
0.2574973,150,50
0.27563,130,30
0.32807675,90,30
0.29275644,130,0
0.23009832,180,-20
0.29275644,130,0
0.2552027,160,-10
0.23825237,-170,-20
0.2865156,130,-10
0.2574557,150,40
0.2574557,150,40
0.22608012,170,-20
0.33833697,70,-10
0.27118722,120,40
0.2508892,150,-10
0.27118734,120,40
0.49398953,-60,-60
0.22437279,-180,-30
0.21265838,-180,-20
0.22437279,-180,-30
0.5041241,-10,-50
0.5011723,-70,-30
0.3049669,0,-60
